timestamp,dataset,n_train,n_test,n_features,n_qubits,with_pca,optimizer,qvm_train_acc,qvm_test_acc,qkm_train_acc,qkm_test_acc
2025-10-18T15:34:51.104667,iris,80,20,2,2,True,COBYLA,0.625,0.7,0.6875,0.55
2025-10-18T15:57:17.629989,iris,80,20,2,2,False,COBYLA,0.725,0.9,0.8125,0.8
2025-10-18T22:40:01.394442,iris,80,20,2,2,False,SPSA,0.825,0.85,0.8125,0.8
2025-10-24T20:37:24.377238,iris,80,20,4,4,False,COBYLA,0.6375,0.45,1.0,0.8
2025-10-24T21:20:42.449374,iris,80,20,4,4,False,SPSA,0.625,0.8,1.0,0.8
2025-10-18T18:32:48.753980,wine,104,26,2,2,False,COBYLA,0.6826923076923077,0.6153846153846154,0.6826923076923077,0.6538461538461539
2025-10-18T18:33:53.157709,wine,104,26,2,2,True,COBYLA,0.6923076923076923,0.5,0.6538461538461539,0.6538461538461539
2025-10-25T21:33:57.240705,wine,104,26,2,2,True,SPSA,0.6634615384615384,0.6153846153846154,0.6538461538461539,0.6538461538461539
2025-10-18T16:23:42.044228,DP_NODP,120,30,2,2,False,COBYLA,0.7833333333333333,0.7,0.975,0.9666666666666667
2025-10-18T21:50:56.107481,DP_NODP,120,30,2,2,False,SPSA,0.7833333333333333,0.8333333333333334,0.975,0.9666666666666667
2025-10-24T16:16:24.634324,DP_NODP,120,30,2,2,True,COBYLA,0.8166666666666667,0.9,0.9666666666666667,0.9333333333333333
2025-10-25T02:34:04.774214,DP_NODP,120,30,4,4,True,COBYLA,0.8666666666666667,0.8333333333333334,0.9916666666666667,0.9666666666666667
2025-10-25T17:45:21.301872,DP_NODP,120,30,4,4,False,SPSA,0.8083333333333333,0.7333333333333333,0.9583333333333334,0.7333333333333333
